ticket_id,date_raised,date_resolved,department,region,agent_name,customer_name,customer_email,priority,status,response_time_minutes,customer_satisfaction_score,revenue_impact
872962C5,1/1/2024,1/3/2024,Operations,Asia Pacific,Colleen Simmons,Julian Collins,john74@example.com,Medium,Resolved,3530,2.76,4442.11
622A6CE2,1/1/2024,,Sales,Middle East,Jeremy Wright,Bradley Gonzales,alexanderlane@example.com,Critical,Unresolved,,,17247.11
E2239292,1/3/2024,1/3/2024,Sales,Middle East,Eric Howe,Jessica Davis,gbaker@example.net,Critical,Resolved,852,1.64,10103.95
9C23D4B2,1/3/2024,1/5/2024,Technical Support,Asia Pacific,Jessica Simmons,Chase Watson,igonzalez@example.com,Low,Resolved,3510,1.17,26577.19
FF2DF0BC,1/4/2024,,Operations,Africa,Jessica Oconnell,Stephen Clark,ecrawford@example.org,Low,Unresolved,,,1368.35
F9FBDD12,1/5/2024,,Sales,Africa,Dylan Mcguire,Amanda Taylor,lindafitzgerald@example.net,Critical,Unresolved,,,21074.39
45DACEB9,1/5/2024,,Customer Support,Asia Pacific,Emma Young,Robin Thomas,ahenderson@example.net,Critical,Unresolved,,,29597.91
781380FF,1/5/2024,,Sales,Asia Pacific,Donna Davis,Lori Wallace,badams@example.org,Medium,Unresolved,,,3059.09
6C04A39B,1/5/2024,,Technical Support,Africa,Shelley Martin,Michelle Kim,davidlewis@example.com,Low,Unresolved,,,38953.17
4D84046E,1/5/2024,1/5/2024,Operations,Africa,Christine Bailey,David Gardner,lindsayavery@example.org,Critical,Resolved,1200,3.04,37329.01
04E77F93,1/6/2024,,Sales,Europe,Jamie Jones,Paul Duncan,mark31@example.net,High,Unresolved,,,42993.83
E4C01580,1/6/2024,,Operations,Middle East,Thomas Washington,John Moore,johnsonsara@example.org,Medium,Unresolved,,,2462.14
28160A70,1/7/2024,1/7/2024,Operations,Africa,Mike Salazar,Vernon Gray,carrjohn@example.com,Medium,Resolved,1260,3.59,30023.55
2F071666,1/7/2024,1/8/2024,Sales,Africa,Alexandria Clark,Scott Cohen,bowersjohn@example.com,High,Resolved,2472,4.3,3569.94
E381C1CE,1/7/2024,,Billing,Middle East,Christopher Williams,Gregory Garcia,robert67@example.com,Critical,Unresolved,,,15120.74
D98FA60A,1/7/2024,1/7/2024,Customer Support,North America,Lisa Burch,Kristen Hunt,michael42@example.com,High,Resolved,833,3.5,7022.26
91039B51,1/7/2024,1/7/2024,Billing,Middle East,Marie Wilson,Robert Wilkins,wrichardson@example.org,High,Resolved,1322,2.33,11511.57
3125C3C7,1/9/2024,,Sales,Middle East,Joseph Gonzalez,Angie Garcia,josephporter@example.net,High,Unresolved,,,39554.82
1ACC5856,1/9/2024,1/10/2024,Operations,Middle East,Angela Torres,Courtney Bowman,jsmall@example.org,High,Resolved,2662,1.71,4318.02
527033D9,1/10/2024,,Customer Support,Asia Pacific,Jennifer Harris,Nicholas Watson,karengarcia@example.net,High,Unresolved,,,31566.13
1CA4CB17,1/11/2024,1/13/2024,Billing,Middle East,Mr. Jared Rodriguez,William Levine,pattersonwillie@example.org,Low,Resolved,3532,4.59,40860.21
0467C03E,1/11/2024,1/11/2024,Sales,Africa,Stephanie Mcdaniel,Benjamin Johnson,jonathon37@example.net,Medium,Resolved,643,1.34,45661.45
9.48E+89,1/13/2024,1/15/2024,Sales,Asia Pacific,Mark Lopez,Kathleen Hall,justinnewman@example.org,Low,Resolved,3308,1.46,22251.74
8FECBB24,1/13/2024,1/13/2024,Operations,North America,Tim Cruz,Preston Floyd,brandonnorris@example.com,Low,Resolved,106,2.08,23767.37
DBA7B854,1/15/2024,1/17/2024,Technical Support,Africa,Robert Ellis,Erik Vaughn Jr.,sherry40@example.com,Medium,Resolved,3024,4.88,5772.93
71F4FDC4,1/15/2024,,Sales,Africa,Veronica Dennis,Andrea Caldwell,rramirez@example.com,Low,Unresolved,,,22286.76
C70BDF7E,1/16/2024,1/16/2024,Billing,North America,Jerry King,Tim Harrison,howardchristopher@example.net,Critical,Resolved,108,4.5,46898.04
17E48048,1/16/2024,1/18/2024,Sales,Africa,Carol Luna,David Daniels,laura38@example.com,Low,Resolved,3239,2.63,4489.61
F51A4FC4,1/17/2024,1/19/2024,Operations,Asia Pacific,Rhonda Knight,Travis Campbell,xmartinez@example.net,Medium,Resolved,3013,3.06,40353.24
14FAF2DD,1/17/2024,1/18/2024,Billing,Asia Pacific,Anthony Johnson,Abigail Maddox,bradley55@example.net,Low,Resolved,1635,3.35,18147.87
7EE67DDE,1/17/2024,1/18/2024,Billing,Africa,Kevin Mitchell,Judy Barnett,fryan@example.com,Low,Resolved,2660,4.94,25132.06
F5E2DE4B,1/18/2024,1/20/2024,Customer Support,Middle East,Madison Webb,Christopher Daugherty,henrylauren@example.org,High,Resolved,3965,3.17,42587.76
E9C6C0C6,1/19/2024,1/20/2024,Billing,Middle East,Anthony Jones,Susan Miller,johnsonerica@example.com,Low,Resolved,2049,1.55,2977.89
B09C4BBB,1/19/2024,1/19/2024,Sales,Europe,Julie Franco,Rachel Levine,travisblake@example.net,Medium,Resolved,1079,3.9,49679.21
C447D02C,1/20/2024,1/20/2024,Technical Support,Asia Pacific,Sharon Taylor,Darrell Lindsey,harperchristina@example.net,Critical,Resolved,1091,3.03,5215.64
ECAA7A2E,1/21/2024,1/22/2024,Sales,North America,Dylan Anderson,Lisa Reyes,pricedebbie@example.net,High,Resolved,2753,4.46,36213.82
0A1D034F,1/21/2024,,Technical Support,Middle East,David Wallace,Misty Butler,sheenawhite@example.com,Medium,Unresolved,,,45612.51
257F49F5,1/23/2024,1/23/2024,Technical Support,Asia Pacific,Kevin Dennis,Amanda Meyer,dfreeman@example.com,High,Resolved,815,2.43,27638.49
F8CBDF19,1/25/2024,1/27/2024,Sales,Middle East,Paul Wilson,Gary Dunn,jenningsjoseph@example.net,Low,Resolved,4021,1.32,26629.52
D77C1EFF,1/26/2024,1/28/2024,Technical Support,Europe,Roy Miller,Justin Mccoy,sanderskatie@example.com,Medium,Resolved,4062,1.91,35721.63
4F2BEFF7,1/26/2024,1/27/2024,Billing,Europe,Jennifer Soto,Ryan Smith,lori89@example.net,High,Resolved,1870,2.82,12241.32
31FE1574,1/26/2024,1/26/2024,Sales,Middle East,James Martin,Robert Hall,christian51@example.net,High,Resolved,1417,4.27,23139.63
35BF3B5F,1/26/2024,1/27/2024,Customer Support,Asia Pacific,Kelly Warner,Richard Elliott,judylarsen@example.com,Low,Resolved,1705,4.95,16808.83
FB4070A8,1/27/2024,1/28/2024,Customer Support,North America,Ashley Chavez,Ralph Trujillo,ronaldhurst@example.com,Medium,Resolved,2578,1.12,18670.89
F7DD7A76,1/28/2024,1/30/2024,Customer Support,Middle East,Maurice Murphy,Ricky James,lisa00@example.net,High,Resolved,4044,1.98,19155.53
ADCB8470,1/28/2024,,Billing,Middle East,Kimberly Shaw,Michael Sanders,yjohnson@example.org,High,Unresolved,,,36066.03
4A570DB1,1/29/2024,1/31/2024,Billing,Middle East,Heather Taylor,Joseph Hickman,bkelly@example.com,Medium,Resolved,3504,3.98,3718.58
B2110C61,1/29/2024,1/31/2024,Operations,Africa,Charles Harris,Susan Walker,okirk@example.net,Medium,Resolved,3598,2.74,44731.89
D9B9AC7D,2/1/2024,,Technical Support,Europe,Mark Meyer,Andrew Harris,ugarrett@example.org,Low,Unresolved,,,12470.48
